name,price
iPhone 16e 128GB,"2,750,000"
Apple Watch Serie 10 42mm,"1,850,000"
Apple Watch Serie 10 46mm,"1,950,000"
iPhone 16 Pro Max 256GB,"5,099,999"
iPhone 16 Pro 256GB,"4,899,999"
iPhone 16 Pro 128GB,"4,499,999"
iPhone 16 128GB,"3,599,999"
Ipad 10 64GB,"1,799,999"
MacBook Air M3,"4,799,999"
MacBook Pro M3,"6,599,999"
Apple Watch Serie 9 45mm,"1,750,000"
Apple Watch Serie 9 41mm,"1,599,999"
iPhone 15 Pro 256GB,"4,699,999"
iPhone 15 128GB,"3,199,999"
iPhone 15 Pro 128GB,"4,299,999"
iPhone 15 Pro Max 256GB,"5,499,999"
Samsung Galaxy S25 Ultra 256GB,"4,799,999"
Samsung Galaxy S25 Ultra 512GB,"4,999,999"
Samsung Galaxy S24 Ultra 512GB,"4,599,999"
Samsung Galaxy S24 Ultra 256GB,"4,299,999"
Samsung Galaxy S23 Ultra 256GB,"3,650,000"
PlayStation 5,"2,450,000"
Xiaomi Mi 11 Lite 128GB,"1,450,000"
Xiaomi Poco X4 Pro 256GB,"1,599,999"
Xiaomi Poco F3 128GB,"1,349,999"
Xiaomi Note 10 Pro 128GB,"1,150,000"
Xiaomi Redmi Note 11 128gb,"829,999"
Adaptador de Corriente 20 W,"120,000"
AirPods 2 – Alámbrica,
AirPods 2 – Inalámbrica,
AirPods Max,
Airpods Pro,"1,049,999"
Airpods Pro 2,"1,049,999"
iPhone 11 128GB,"1,899,999"
iPhone 11 64GB,"1,599,999"
iPhone 13 128GB,"2,399,999"
iPhone 13 256GB,"4,350,000"
iPhone 14 128GB,"2,999,999"
