name,price
Xiaomi 15 512gb | 12gb,$3.599.900
Poco F7 Pro 512gb | 12gb,$2.599.900
Poco F7 Pro 256gb | 12gb,$2.099.900
Poco X7 Pro 512gb | 12gb,$1.519.900
Poco X7 Pro 256gb | 8gb,$1.269.900
Poco X7 Pro 256gb | 12gb,$1.359.900
Poco X7 256gb | 8gb,$1.049.900
Redmi Note 14 Pro+ 5G 512gb | 12gb,$1.619.900
Redmi Note 14 Pro+ 5G 256gb | 8gb,$1.449.900
Redmi Note 14 Pro 4G 256gb | 8gb,$999.900
Redmi Note 14 Pro 5G 256gb | 8gb,$1.239.900
Redmi Note 14 5G 256gb | 8gb,$899.900
Redmi Note 14 4G 256gb | 8gb,$709.900
Redmi 14C 256gb | 8gb,$499.900
Xiaomi 14 Ultra 512gb | 16gb,$4.599.900
Xiaomi 14T Pro 512gb | 12gb,$2.589.900
Xiaomi 14T 512gb | 12gb,$1.999.900
Xiaomi 14 5G 512gb | 12gb,$2.899.900
Poco F6 Pro 512gb | 12gb,$1.749.900
Poco F6 Pro 256gb | 12gb,$1.849.900
Poco F6 512gb | 12gb,$1.529.900
Poco X6 Pro 5G 512gb | 12gb,$1.179.900
Poco X6 Pro 5G 256gb | 8gb,$1.169.900
Redmi Note 13 Pro plus 5G 256gb | 8gb,$1.299.900
Redmi Note 13 Pro plus 5G 512gb | 12gb,$1.529.900
Redmi Note 14 Pro 4G 256gb | 8gb,$999.900
Redmi Note 14 Pro+ 5G 512gb | 12gb,$1.619.900
Redmi Note 14 Pro+ 5G 256gb | 8gb,$1.449.900
Redmi Note 14 Pro 5G 256gb | 8gb,$1.239.900
Redmi Note 14 5G 256gb | 8gb,$899.900
Redmi Note 14 4G 256gb | 8gb,$709.900
Redmi 14C 256gb | 8gb,$499.900
Redmi Note 13 Pro plus 5G 512gb | 12gb,$1.529.900
Redmi Note 13 Pro plus 5G 256gb | 8gb,$1.299.900
Xiaomi 15 512gb | 12gb,$3.599.900
Xiaomi 14T Pro 512gb | 12gb,$2.589.900
Xiaomi 14T 512gb | 12gb,$1.999.900
Xiaomi 14 Ultra 512gb | 16gb,$4.599.900
Xiaomi 14 5G 512gb | 12gb,$2.899.900
