name,price
CELULAR APPLE IPHONE 14 PRO 5G 6+256GB E-SIM NEGRO EXH,"$2.624.998,95"
CELULAR APPLE IPHONE 13 5G 4+128GB S-FIS NEGRO EXH,$1.573.950
CELULAR APPLE IPHONE 13 PRO 5G 6+128GB S-FIS NEGRO EXH,$2.047.500
CELULAR APPLE IPHONE 16 PRO MAX 5G 8+256GB E-SIM DESERT TITANIUM NUEVO,$5.124.000
CELULAR APPLE IPHONE 16 5G 8+128GB E-SIM ROSADO NUEVO,$3.696.000
CELULAR APPLE IPHONE 16 PRO MAX 5G 8+256GB E-SIM NATURAL TITANIUM NUEVO,$5.124.000
CELULAR SAMSUNG GALAXY S24 ULTRA 5G 12+256GB S-FIS LILA TITANIUM NUEVO,$4.093.950
CELULAR SAMSUNG GALAXY S24 ULTRA 5G 12+512GB S-FIS NEGRO TITANIUM NUEVO,$4.252.500
CELULAR SAMSUNG S25 ULTRA 5G 4+512GB S-FIS BLANCO  NUEVO,$5.355.000
CELULAR SAMSUNG S25 ULTRA 5G 4+512GB S-FIS GRIS NUEVO,$5.355.000
CELULAR SAMSUNG S25 ULTRA 5G 4+512GB S-FIS NEGRO NUEVO,$5.355.000
CELULAR SAMSUNG GALAXY S24 ULTRA 5G 12+512GB S-FIS LILA TITANIUM NUEVO,$4.252.500
CELULAR APPLE IPHONE 14 PRO 5G 6+256GB E-SIM NEGRO EXH,"$2.624.998,95"
CELULAR APPLE IPHONE 13 5G 4+128GB S-FIS NEGRO EXH,$1.573.950
CELULAR APPLE IPHONE 13 PRO 5G 6+128GB S-FIS NEGRO EXH,$2.047.500
CELULAR APPLE IPHONE 16 PRO MAX 5G 8+256GB E-SIM DESERT TITANIUM NUEVO,$5.124.000
CELULAR APPLE IPHONE 16 5G 8+128GB E-SIM ROSADO NUEVO,$3.696.000
CELULAR SAMSUNG GALAXY S24 ULTRA 5G 12+256GB S-FIS LILA TITANIUM NUEVO,$4.093.950
SMARTWATCH APPLE WATCH SERIE 10 46 MM NEGRO NUEVO,$1.879.500
CABLE APPLE 1 METRO USB-C A LIGHTNING ORIGINAL BLANCO NUEVO,$56.700
CARGADOR APPLE CUBO 20W ORIGINAL BLANCO NUEVO,$105.000
AUDIFONOS APPLE AIRPODS 2DA GEN BLANCO NUEVO,$514.500
AUDIFONOS APPLE AIRPODS PRO 2DA GEN BLANCO NUEVO,$1.042.650
AUDIFONOS EARBUDS PROBUDS BRONCE NUEVO,"$94.489,5"
CELULAR APPLE IPHONE 14 PRO MAX 5G 6+256GB E-SIM NEGRO EXH,$3.202.500
CELULAR APPLE IPHONE 14 PRO 5G 6+128GB E-SIM NEGRO EXH,$2.623.950
CELULAR APPLE IPHONE 15 5G 6+128GB E-SIM AZUL EXH,$2.572.500
CELULAR APPLE IPHONE 13 PRO MAX 5G 6+256GB S-FIS AZUL EXH,$2.572.500
CELULAR APPLE IPHONE 15 5G 6+128GB S-FIS NEGRO NUEVO,$3.097.500
CELULAR APPLE IPHONE 16 5G 8+128GB E-SIM BLANCO NUEVO,$3.696.000
CELULAR APPLE IPHONE 12 PRO 5G 6+256GB S-FIS NEGRO EXH,$1.888.950
CELULAR APPLE IPHONE 14 PRO MAX 5G 6+256GB E-SIM NEGRO EXH,$3.202.500
CELULAR APPLE IPHONE 14 PRO 5G 6+128GB E-SIM NEGRO EXH,$2.623.950
CELULAR APPLE IPHONE 15 5G 6+128GB E-SIM AZUL EXH,$2.572.500
CELULAR APPLE IPHONE 13 PRO MAX 5G 6+256GB S-FIS AZUL EXH,$2.572.500
CELULAR SAMSUNG GALAXY S24 ULTRA 5G 12+512GB S-FIS NEGRO TITANIUM NUEVO,$4.252.500
CELULAR APPLE IPHONE 13 PRO MAX 5G 6+256GB S-FIS NEGRO EXH,$2.572.500
CELULAR APPLE IPHONE 14 PRO MAX 5G 6+256GB E-SIM DORADO EXH,$3.202.500
CELULAR APPLE IPHONE 13 PRO 5G 6+256GB S-FIS AZUL EXH,$2.499.000
CELULAR APPLE IPHONE 14 PRO MAX 5G 6+256GB E-SIM MORADO EXH,$3.202.500
CELULAR APPLE IPHONE 14 PRO 5G 6+256GB E-SIM DORADO EXH,$2.929.500
CELULAR APPLE IPHONE 16 PRO 5G 8+256GB E-SIM NATURAL TITANIUM NUEVO,$5.407.500
CELULAR APPLE IPHONE 15 PRO MAX 5G 8+256GB E-SIM AZUL TITANIUM EXH,$3.937.500
CELULAR APPLE IPHONE 14 PRO MAX 5G 6+256GB E-SIM BLANCO EXH,$3.202.500
CELULAR APPLE IPHONE 13 PRO MAX 5G 6+256GB S-FIS NEGRO EXH,$2.572.500
CELULAR APPLE IPHONE 14 PRO MAX 5G 6+256GB E-SIM DORADO EXH,$3.202.500
CELULAR APPLE IPHONE 13 PRO 5G 6+256GB S-FIS AZUL EXH,$2.499.000
CELULAR APPLE IPHONE 14 PRO MAX 5G 6+256GB E-SIM MORADO EXH,$3.202.500
CELULAR APPLE IPHONE 14 PRO MAX 5G 6+128GB E-SIM MORADO EXH,$3.253.950
CELULAR APPLE IPHONE 15 PRO MAX 5G 8+256GB E-SIM BLANCO TITANIUM EXH,$3.937.500
CELULAR APPLE IPHONE 12 5G 4+128GB S-FIS NEGRO EXH,$1.470.000
CELULAR APPLE IPHONE 13 5G 4+128GB S-FIS NEGRO NUEVO,$2.352.000
CELULAR APPLE IPHONE 12 PRO MAX 5G 6+128GB S-FIS AZUL EXH,$1.888.950
CELULAR APPLE IPHONE 13 5G 4+256GB S-FIS NEGRO EXH,$2.152.500
CELULAR APPLE IPHONE 15 5G 6+128GB S-FIS ROSADO NUEVO,$3.097.500
Tablet Apple Ipad 10 (2022) Wifi +64gb Azul Nuevo,$1.627.500
CELULAR SAMSUNG S25 ULTRA 5G 4+512GB S-FIS BLANCO  NUEVO,$5.355.000
CELULAR APPLE IPHONE 14 PRO MAX 5G 6+128GB E-SIM MORADO EXH,$3.253.950
CELULAR SAMSUNG S25 ULTRA 5G 4+512GB S-FIS GRIS NUEVO,$5.355.000
CELULAR APPLE IPHONE 15 PRO MAX 5G 8+256GB E-SIM BLANCO TITANIUM EXH,$3.937.500
CELULAR APPLE IPHONE 14 PLUS 5G 6+128GB E-SIM AZUL EXH,$2.508.450
CELULAR APPLE IPHONE 11 PRO 4G 4+256GB S-FIS BLANCO EXH,$1.470.000
CELULAR APPLE IPHONE 16 5G 8+128GB E-SIM AZUL NUEVO,$3.696.000
CELULAR APPLE IPHONE 13 PRO MAX 5G 6+256GB S-FIS DORADO EXH,$2.572.500
CELULAR APPLE IPHONE 14 5G 6+128GB E-SIM LILA EXH,$2.257.500
CELULAR APPLE IPHONE 15 PRO MAX 5G 8+256GB S-FIS AZUL TITANIUM USADO,$4.462.500
CELULAR APPLE IPHONE 13 PRO MAX 5G 6+128GB S-FIS DORADO EXH,$2.308.950
CELULAR APPLE IPHONE 11 4G 4+128GB S-FIS NEGRO EXH,$1.207.500
CELULAR APPLE IPHONE 13 PRO MAX 5G 6+128GB S-FIS BLANCO EXH,$2.520.000
CELULAR APPLE IPHONE 11 4G 4+64GB S-FIS BLANCO EXH,$1.128.750
Tablet Apple Ipad 10 (2022) Wifi +256gb Blanco Nuevo,$2.415.000
CELULAR APPLE IPHONE 16 5G 8+128GB E-SIM NEGRO NUEVO,$3.696.000
CELULAR APPLE IPHONE 13 PRO 5G 6+256GB S-FIS NEGRO EXH,$2.499.000
CELULAR APPLE IPHONE 13 PRO MAX 5G 6+256GB S-FIS VERDE EXH,$2.572.500
CELULAR APPLE IPHONE 12 PRO MAX 5G 6+256GB S-FIS BLANCO EXH,$2.289.000
CELULAR APPLE IPHONE 12 5G 4+128GB S-FIS AZUL EXH,$1.470.000
CELULAR APPLE IPHONE 15 PRO MAX 5G 8+256GB S-FIS NATURAL TITANIUM USADO,$4.462.500
CELULAR APPLE IPHONE 13 5G 4+128GB S-FIS VERDE NUEVO,$2.352.000
CELULAR APPLE IPHONE 16 5G 8+128GB E-SIM VERDE NUEVO,$3.832.500
CELULAR APPLE IPHONE 13 5G 4+256GB S-FIS BLANCO EXH,$2.152.500
CELULAR APPLE IPHONE 13 5G 4+256GB S-FIS ROSADO EXH,$2.152.500
CELULAR APPLE IPHONE 15 5G 6+128GB S-FIS AZUL NUEVO,$3.097.500
CELULAR APPLE IPHONE 14 5G 6+128GB S-FIS NEGRO NUEVO,$2.782.500
CELULAR APPLE IPHONE 12 PRO MAX 5G 6+256GB S-FIS NEGRO EXH,$2.394.000
CELULAR APPLE IPHONE 12 PRO 5G 6+128GB S-FIS DORADO EXH,$1.689.450
CELULAR APPLE IPHONE 14 PRO MAX 5G 6+128GB E-SIM BLANCO EXH,$3.253.950
CELULAR APPLE IPHONE 11 PRO MAX 4G 4+64GB S-FIS NEGRO EXH,"$1.554.000,01"
CELULAR APPLE IPHONE 11 4G 4+64GB S-FIS AMARILLO EXH,$1.128.750
CELULAR APPLE IPHONE 11 PRO MAX 4G 4+256GB S-FIS DORADO EXH,$1.774.500
CELULAR APPLE IPHONE 14 5G 6+128GB E-SIM AZUL NUEVO,$2.782.500
CELULAR APPLE IPHONE 14 PRO MAX 5G 6+256GB E-SIM DORADO USADO,$3.412.500
CELULAR APPLE IPHONE 11 PRO 4G 4+64GB S-FIS NEGRO EXH,$1.312.500
CELULAR APPLE IPHONE 15 PRO MAX 5G 8+256GB S-FIS BLANCO TITANIUM USADO,$4.462.500
CELULAR APPLE IPHONE 13 5G 4+128GB S-FIS AZUL NUEVO,$2.422.350
CELULAR APPLE IPHONE 14 5G 6+128GB E-SIM AZUL EXH,$2.047.500
CELULAR APPLE IPHONE 11 4G 4+128GB S-FIS VERDE EXH,$1.358.700
CELULAR APPLE IPHONE 11 PRO 4G 4+256GB S-FIS NEGRO EXH,$1.549.800
CELULAR APPLE IPHONE 15 PRO MAX 5G 8+256GB S-FIS NEGRO TITANIUM USADO,$4.462.500
CELULAR APPLE IPHONE 16 PRO 5G 8+256GB E-SIM DESERT TITANIUM NUEVO,$5.407.500
CELULAR APPLE IPHONE 15 5G 6+128GB E-SIM ROSADO NUEVO,$3.307.500
CELULAR APPLE IPHONE 12 PRO MAX 5G 6+256GB S-FIS DORADO EXH,$2.289.000
CELULAR APPLE IPHONE 14 PLUS 5G 6+128GB E-SIM ROJO EXH,$2.508.450
CELULAR APPLE IPHONE 16 PRO MAX 5G 8+512GB E-SIM NATURAL TITANIUM NUEVO,$6.405.000
CELULAR APPLE IPHONE 14 PRO MAX 5G 6+128GB E-SIM DORADO EXH,$3.253.950
CELULAR APPLE IPHONE 16 PRO 5G 8+256GB E-SIM BLANCO TITANIUM NUEVO,$5.407.500
CELULAR APPLE IPHONE 13 5G 4+128GB S-FIS ROSADO NUEVO,$2.488.500
CELULAR APPLE IPHONE 14 PRO 5G 6+128GB E-SIM MORADO EXH,$2.929.500
CELULAR APPLE IPHONE 11 PRO MAX 4G 4+64GB S-FIS VERDE EXH,$1.554.000
CELULAR APPLE IPHONE 12 PRO MAX 5G 6+256GB S-FIS AZUL EXH,$2.394.000
CELULAR APPLE IPHONE 14 PLUS 5G 6+128GB E-SIM NEGRO EXH,$2.508.450
CELULAR APPLE IPHONE 15 5G 6+128GB S-FIS VERDE NUEVO,$3.139.500
CELULAR APPLE IPHONE 14 PRO MAX 5G 6+128GB E-SIM NEGRO EXH,$3.253.950
CELULAR APPLE IPHONE 16 PRO 5G 8+256GB E-SIM NEGRO TITANIUM NUEVO,$5.407.500
CELULAR APPLE IPHONE 13 5G 4+128GB S-FIS VERDE EXH,$2.089.500
CELULAR APPLE IPHONE 12 PRO 5G 6+128GB S-FIS AZUL EXH,$1.689.450
